iter	Passed	Remaining
0	3	3179
1	3	1858
2	4	1383
3	4	1142
4	4	967
5	5	867
6	5	791
7	5	738
8	6	693
9	6	658
10	7	630
11	7	605
12	7	585
13	8	569
14	8	557
15	8	542
16	9	531
17	9	521
18	9	512
19	10	502
20	10	494
21	10	488
22	11	481
23	11	475
24	12	470
25	12	464
26	12	460
27	13	455
28	13	450
29	13	450
30	14	447
31	14	445
32	14	437
33	15	436
34	15	435
35	16	433
36	16	431
37	16	428
38	17	425
39	17	423
40	18	421
41	18	419
42	18	417
43	19	415
44	19	413
45	19	411
46	20	409
47	20	408
48	20	407
49	21	407
50	21	406
51	22	405
52	22	404
53	23	403
54	23	402
55	23	401
56	24	399
57	24	398
58	24	396
59	25	395
60	25	394
61	25	393
62	26	392
63	26	391
64	27	389
65	27	388
66	27	386
67	28	385
68	28	384
69	28	384
70	29	382
71	29	384
72	30	383
73	30	383
74	31	382
75	31	383
76	31	383
77	32	384
78	32	384
79	33	383
80	33	382
81	34	381
82	34	380
83	34	379
84	35	378
85	35	377
86	35	374
87	36	373
88	36	372
89	36	372
90	37	371
91	37	370
92	37	369
93	38	368
94	38	367
95	39	367
96	39	367
97	39	366
98	40	365
99	40	364
100	40	363
101	41	363
102	41	360
103	41	359
104	42	359
105	42	358
106	42	358
107	43	357
108	43	356
109	44	356
110	44	354
111	44	354
112	44	352
113	45	351
114	45	352
115	46	352
116	46	352
117	47	353
118	47	354
119	48	354
120	48	355
121	49	355
122	49	355
123	50	355
124	50	355
125	51	354
126	51	354
127	51	353
128	52	353
129	52	352
130	53	352
131	53	352
132	54	352
133	54	351
134	54	350
135	54	349
136	55	348
137	55	349
138	56	349
139	56	348
140	57	347
141	57	347
142	57	346
143	58	346
144	58	345
145	58	345
146	59	344
147	59	343
148	60	343
149	60	342
150	60	341
151	60	340
152	61	340
153	61	340
154	62	340
155	62	339
156	63	338
157	63	338
158	63	338
159	64	337
160	64	337
161	65	336
162	65	336
163	65	335
164	66	335
165	66	334
166	66	334
167	67	333
168	67	332
169	68	332
170	68	332
171	69	332
172	69	332
173	70	332
174	70	331
175	70	332
176	71	331
177	71	332
178	72	332
179	72	332
180	73	332
181	73	332
182	74	331
183	74	330
184	74	330
185	75	329
186	75	329
187	76	329
188	76	329
189	77	330
190	77	330
191	78	330
192	78	329
193	79	329
194	79	329
195	80	330
196	81	330
197	81	331
198	82	331
199	83	332
200	83	331
201	83	331
202	84	331
203	85	333
204	85	333
205	86	332
206	86	332
207	87	331
208	87	330
209	87	330
210	88	329
211	88	328
212	88	328
213	89	327
214	89	327
215	90	326
216	90	326
217	90	325
218	91	324
219	91	324
220	91	323
221	92	323
222	92	322
223	93	322
224	93	321
225	93	321
226	94	321
227	94	321
228	95	321
229	95	321
230	96	320
231	96	319
232	97	319
233	97	318
234	97	318
235	98	317
236	98	317
237	98	316
238	99	316
239	99	315
240	99	314
241	100	314
242	100	314
243	101	313
244	101	313
245	102	313
246	102	312
247	102	312
248	103	311
249	103	311
250	104	311
251	104	311
252	105	310
253	105	310
254	106	310
255	106	309
256	106	309
257	107	308
258	107	308
259	108	307
260	108	307
261	109	307
262	109	306
263	109	306
264	110	305
265	110	305
266	111	304
267	111	304
268	111	304
269	112	303
270	112	303
271	113	302
272	113	302
273	113	301
274	114	301
275	114	300
276	115	300
277	115	299
278	115	299
279	116	299
280	116	298
281	117	298
282	117	297
283	117	297
284	118	296
285	118	296
286	119	295
287	119	295
288	119	294
289	120	294
290	120	293
291	120	293
292	121	292
293	121	291
294	121	291
295	122	290
296	122	290
297	123	290
298	123	289
299	123	288
300	124	288
301	124	288
302	125	287
303	125	287
304	126	288
305	126	287
306	127	287
307	127	286
308	128	286
309	128	285
310	128	285
311	129	284
312	129	284
313	129	283
314	130	283
315	130	282
316	131	282
317	131	281
318	131	281
319	132	280
320	132	280
321	132	279
322	133	279
323	133	278
324	133	278
325	134	277
326	134	277
327	135	276
328	135	276
329	135	275
330	136	275
331	136	274
332	136	274
333	137	273
334	137	273
335	138	272
336	138	272
337	138	271
338	139	271
339	139	270
340	139	270
341	140	269
342	140	269
343	140	268
344	141	268
345	141	267
346	142	267
347	142	266
348	142	266
349	143	265
350	143	265
351	143	264
352	144	264
353	144	263
354	144	263
355	145	262
356	145	262
357	146	261
358	146	261
359	146	260
360	147	260
361	147	259
362	147	259
363	148	258
364	148	258
365	148	257
366	149	257
367	149	256
368	149	256
369	150	255
370	150	255
371	150	254
372	151	254
373	151	253
374	151	253
375	152	252
376	152	252
377	153	251
378	153	251
379	154	251
380	154	250
381	154	250
382	155	249
383	155	249
384	155	249
385	156	248
386	156	248
387	156	247
388	157	247
389	157	246
390	158	246
391	158	245
392	158	245
393	159	244
394	159	244
395	159	243
396	160	243
397	160	242
398	160	242
399	161	241
400	161	241
401	161	240
402	162	240
403	162	239
404	163	239
405	163	239
406	163	238
407	164	238
408	164	237
409	164	237
410	165	236
411	165	236
412	166	235
413	166	235
414	166	234
415	167	234
416	167	234
417	167	233
418	168	233
419	168	232
420	168	232
421	169	231
422	169	231
423	170	231
424	170	230
425	170	230
426	171	229
427	171	229
428	172	229
429	172	228
430	172	228
431	173	227
432	173	227
433	174	226
434	174	226
435	174	226
436	175	225
437	175	225
438	175	224
439	176	224
440	176	224
441	177	223
442	177	223
443	177	222
444	178	222
445	178	221
446	178	221
447	179	220
448	179	220
449	180	220
450	180	219
451	181	219
452	181	219
453	182	219
454	182	218
455	183	218
456	183	218
457	184	217
458	184	217
459	184	217
460	185	216
461	185	216
462	186	215
463	186	215
464	187	215
465	187	214
466	187	214
467	188	213
468	188	213
469	188	212
470	189	212
471	189	212
472	189	211
473	190	211
474	190	210
475	191	210
476	191	209
477	191	209
478	192	209
479	192	208
480	193	208
481	193	208
482	194	207
483	194	207
484	195	207
485	195	207
486	196	206
487	196	206
488	197	206
489	197	205
490	197	205
491	198	204
492	198	204
493	198	203
494	199	203
495	199	202
496	199	202
497	200	201
498	200	201
499	201	201
500	201	200
501	202	200
502	202	200
503	203	199
504	203	199
505	204	199
506	204	199
507	205	198
508	205	198
509	205	197
510	206	197
511	206	196
512	207	196
513	207	196
514	207	195
515	208	195
516	208	194
517	209	194
518	209	194
519	209	193
520	210	193
521	210	192
522	210	192
523	211	191
524	211	191
525	211	190
526	212	190
527	212	190
528	212	189
529	213	189
530	213	188
531	214	188
532	214	187
533	214	187
534	215	186
535	215	186
536	215	186
537	216	185
538	216	185
539	217	184
540	217	184
541	217	184
542	218	183
543	218	183
544	219	183
545	220	183
546	220	182
547	221	182
548	221	182
549	222	181
550	222	181
551	222	180
552	222	180
553	223	179
554	223	179
555	224	178
556	224	178
557	224	178
558	225	177
559	225	177
560	226	176
561	226	176
562	226	175
563	227	175
564	227	175
565	227	174
566	228	174
567	228	173
568	228	173
569	229	172
570	229	172
571	229	172
572	230	171
573	230	171
574	231	170
575	231	170
576	231	169
577	232	169
578	232	169
579	233	168
580	233	168
581	234	168
582	234	167
583	235	167
584	235	167
585	236	166
586	236	166
587	237	166
588	237	165
589	237	165
590	237	164
591	238	164
592	238	163
593	239	163
594	239	162
595	239	162
596	240	162
597	240	161
598	240	161
599	241	160
600	241	160
601	242	160
602	242	159
603	242	159
604	243	158
605	243	158
606	243	157
607	244	157
608	244	157
609	244	156
610	245	156
611	245	155
612	246	155
613	246	154
614	246	154
615	247	154
616	247	153
617	247	153
618	248	152
619	248	152
620	249	151
621	249	151
622	249	151
623	250	150
624	250	150
625	250	149
626	251	149
627	251	149
628	252	148
629	252	148
630	252	147
631	253	147
632	253	146
633	253	146
634	254	146
635	254	145
636	254	145
637	255	144
638	255	144
639	256	144
640	256	143
641	256	143
642	257	142
643	257	142
644	257	141
645	258	141
646	258	141
647	258	140
648	259	140
649	259	139
650	259	139
651	260	138
652	260	138
653	261	138
654	261	137
655	261	137
656	262	137
657	262	136
658	263	136
659	263	135
660	264	135
661	264	135
662	264	134
663	265	134
664	265	133
665	266	133
666	266	133
667	266	132
668	267	132
669	267	131
670	267	131
671	268	130
672	268	130
673	268	130
674	269	129
675	269	129
676	270	128
677	270	128
678	270	127
679	271	127
680	271	127
681	271	126
682	272	126
683	272	125
684	272	125
685	273	125
686	273	124
687	273	124
688	274	123
689	274	123
690	275	122
691	275	122
692	275	122
693	276	121
694	276	121
695	276	120
696	277	120
697	277	120
698	277	119
699	278	119
700	278	118
701	279	118
702	279	118
703	279	117
704	280	117
705	280	116
706	280	116
707	281	116
708	281	115
709	282	115
710	282	114
711	282	114
712	283	114
713	283	113
714	284	113
715	284	112
716	285	112
717	285	112
718	285	111
719	286	111
720	286	110
721	287	110
722	287	110
723	287	109
724	288	109
725	288	108
726	288	108
727	289	108
728	289	107
729	289	107
730	290	106
731	290	106
732	290	105
733	291	105
734	291	105
735	291	104
736	292	104
737	292	103
738	292	103
739	293	103
740	293	102
741	294	102
742	294	101
743	294	101
744	295	101
745	295	100
746	295	100
747	296	99
748	296	99
749	297	99
750	297	98
751	297	98
752	298	97
753	298	97
754	299	97
755	299	96
756	299	96
757	300	95
758	300	95
759	300	95
760	301	94
761	301	94
762	301	93
763	302	93
764	302	92
765	303	92
766	303	92
767	303	91
768	304	91
769	304	90
770	304	90
771	305	90
772	305	89
773	306	89
774	306	88
775	306	88
776	307	88
777	307	87
778	307	87
779	308	86
780	308	86
781	308	86
782	309	85
783	309	85
784	309	84
785	310	84
786	310	84
787	311	83
788	311	83
789	311	82
790	312	82
791	312	82
792	313	81
793	313	81
794	314	81
795	314	80
796	315	80
797	315	79
798	316	79
799	316	79
800	316	78
801	317	78
802	317	77
803	317	77
804	318	77
805	318	76
806	319	76
807	319	75
808	319	75
809	320	75
810	320	74
811	321	74
812	321	73
813	321	73
814	322	73
815	322	72
816	323	72
817	323	71
818	323	71
819	324	71
820	324	70
821	324	70
822	325	69
823	325	69
824	325	69
825	326	68
826	326	68
827	327	68
828	328	67
829	328	67
830	328	66
831	329	66
832	329	66
833	329	65
834	330	65
835	330	64
836	331	64
837	331	64
838	331	63
839	332	63
840	332	62
841	332	62
842	333	62
843	333	61
844	333	61
845	334	60
846	334	60
847	335	60
848	335	59
849	335	59
850	336	58
851	336	58
852	336	58
853	337	57
854	337	57
855	337	56
856	338	56
857	338	56
858	339	55
859	339	55
860	339	54
861	340	54
862	340	54
863	340	53
864	341	53
865	341	52
866	342	52
867	342	52
868	342	51
869	343	51
870	343	50
871	344	50
872	344	50
873	344	49
874	345	49
875	345	48
876	346	48
877	346	48
878	346	47
879	347	47
880	347	46
881	347	46
882	348	46
883	348	45
884	348	45
885	349	44
886	349	44
887	350	44
888	350	43
889	350	43
890	351	42
891	351	42
892	351	42
893	352	41
894	352	41
895	352	40
896	353	40
897	353	40
898	353	39
899	354	39
900	354	38
901	354	38
902	355	38
903	355	37
904	356	37
905	356	36
906	356	36
907	357	36
908	357	35
909	357	35
910	358	34
911	358	34
912	358	34
913	359	33
914	360	33
915	360	33
916	360	32
917	361	32
918	361	31
919	361	31
920	362	31
921	362	30
922	363	30
923	363	29
924	363	29
925	364	29
926	364	28
927	364	28
928	365	27
929	365	27
930	365	27
931	366	26
932	366	26
933	366	25
934	367	25
935	367	25
936	368	24
937	368	24
938	368	23
939	369	23
940	369	23
941	370	22
942	371	22
943	371	22
944	371	21
945	372	21
946	372	20
947	373	20
948	373	20
949	374	19
950	375	19
951	375	18
952	375	18
953	376	18
954	376	17
955	377	17
956	377	16
957	377	16
958	378	16
959	378	15
960	378	15
961	379	14
962	379	14
963	380	14
964	380	13
965	380	13
966	381	13
967	381	12
968	381	12
969	382	11
970	382	11
971	382	11
972	383	10
973	383	10
974	384	9
975	384	9
976	384	9
977	385	8
978	385	8
979	386	7
980	386	7
981	386	7
982	387	6
983	387	6
984	388	5
985	388	5
986	388	5
987	389	4
988	389	4
989	390	3
990	390	3
991	390	3
992	391	2
993	391	2
994	392	1
995	392	1
996	393	1
997	393	0
998	394	0
999	394	0
